Variable,Index
C_pol,x0
C_eth,x1
C_pg,x2
t,x3
sqrt(t),x4
log(t),x5
1/t,x6
exp(-t),x7
1-exp(-t),x8
C_pg * C_eth,x9
C_pg * C_pol,x10
C_eth * C_pol,x11
C_pg / C_pol,x12
C_pg / C_eth,x13
C_eth / C_pol,x14
C_pg^2,x15
C_eth^2,x16
C_pol^2,x17
C_pg * log(t),x18
C_pg * log(t),x19
C_eth * log(t),x20
C_pg * log(t),x21
C_eth * t,x22
C_pg * t,x23
log(C_pg / C_eth),x24
sqrt(C_pg / C_eth),x25
t - sqrt(t),x26
exp(C_pg / C_eth),x27
C_pg * -0.3741939,x28
C_pg * -0.37614924,x29
t - sqrt(t) + exp(-t),x30
log(C_pg * C_eth),x31
inv(C_pg * C_eth),x32
log(inv(C_pg * C_eth)),x33
