complexity,loss,equation,score,sympy_format,lambda_format,restored_equation,restored_complexity,ops_only_complexity
2,3948.237,exp(x14),1.0143929417822932,exp(x14),PySRFunction(X=>exp(x14)),exp((sqrt(t))),3,2
3,495.62003,x11 * 11.94408,2.075214864550672,x11*11.94408,PySRFunction(X=>x11*11.94408),(t - sqrt(t)) * 11.94408,8,4
5,470.35263,x11 * (x12 + 10.903478),0.0261634373065099,x11*(x12 + 10.903478),PySRFunction(X=>x11*(x12 + 10.903478)),(t - sqrt(t)) * ((C_pg / C_eth) + 10.903478),10,6
6,444.3997,(17.308594 - log(x0)) * x11,0.056758307285325,x11*(17.308594 - log(x0)),PySRFunction(X=>x11*(17.308594 - log(x0))),(17.308594 - log((C_pg * C_eth))) * (t - sqrt(t)),11,8
7,395.67368,x11 * ((x0 * -0.011397907) + 14.49696),0.1161345515552288,x11*(14.49696 + x0*(-0.011397907)),PySRFunction(X=>x11*(14.49696 + x0*(-0.011397907))),(t - sqrt(t)) * (((C_pg * C_eth) * -0.011397907) + 14.49696),12,7
8,390.67316,x11 * sqrt((x0 * -0.27899188) + 205.77853),0.0127185286513836,x11*sqrt(205.77853 - 0.27899188*x0),PySRFunction(X=>x11*sqrt(205.77853 - 0.27899188*x0)),(t - sqrt(t)) * sqrt(((C_pg * C_eth) * -0.27899188) + 205.77853),13,8
13,320.77472,x11 * (((x15 + -11.702882) * ((12.924378 / x5) + -0.97610176)) + 12.084542),0.0464678295329327,x11*((-0.97610176 + 12.924378/x5)*(x15 - 11.702882) + 12.084542),PySRFunction(X=>x11*((-0.97610176 + 12.924378/x5)*(x15 - 11.702882) + 12.084542)),(t - sqrt(t)) * ((((C_pg) + -11.702882) * ((12.924378 / (C_eth)) + -0.97610176)) + 12.084542),16,9
15,318.87643,(((((12.920627 / x5) + -0.97586656) * (x15 + -11.701101)) + 11.974526) * x11) + 1.9803557,0.0029677044634627,x11*((-0.97586656 + 12.920627/x5)*(x15 - 11.701101) + 11.974526) + 1.9803557,PySRFunction(X=>x11*((-0.97586656 + 12.920627/x5)*(x15 - 11.701101) + 11.974526) + 1.9803557),(((((12.920627 / (C_eth)) + -0.97586656) * ((C_pg) + -11.701101)) + 11.974526) * (t - sqrt(t))) + 1.9803557,18,10
19,268.92627,x11 * (exp(x12) + (((x15 * -0.3741939) + inv((sqrt(x12) + -1.0033072) * square(x15))) + 14.720859)),0.0004188746764774,x11*(-0.3741939*x15 + exp(x12) + 14.720859 + 1/(x15**2*(sqrt(x12) - 1.0033072))),PySRFunction(X=>x11*(-0.3741939*x15 + exp(x12) + 14.720859 + 1/(x15**2*(sqrt(x12) - 1.0033072)))),(t - sqrt(t)) * (exp((C_pg / C_eth)) + ((((C_pg) * -0.3741939) + inv((sqrt((C_pg / C_eth)) + -1.0033072) * square((C_pg)))) + 14.720859)),26,16
22,267.0635,(x11 + (0.36473793 / x8)) * ((14.720859 + exp(x12)) + ((x15 * -0.37614924) + inv((sqrt(x12) + -1.0033072) * x0))),0.0008299823391737,(x11 + 0.36473793/x8)*(-0.37614924*x15 + exp(x12) + 14.720859 + 1/(x0*(sqrt(x12) - 1.0033072))),PySRFunction(X=>(x11 + 0.36473793/x8)*(-0.37614924*x15 + exp(x12) + 14.720859 + 1/(x0*(sqrt(x12) - 1.0033072)))),((t - sqrt(t)) + (0.36473793 / (t))) * ((14.720859 + exp((C_pg / C_eth))) + (((C_pg) * -0.37614924) + inv((sqrt((C_pg / C_eth)) + -1.0033072) * (C_pg * C_eth)))),31,18
