iter,best_raw,best_pen
0,7469.349264679515,-15748264.235747125
1,7469.349264679515,-15748264.235747125
2,7469.349264679515,-15748264.235747125
3,7482.8538699081,-15855642.095172022
4,7482.8538699081,-15855642.095172022
5,7482.8538699081,-15855642.095172022
6,7482.8538699081,-15855642.095172022
7,7482.8538699081,-15855642.095172022
8,7482.8538699081,-15855642.095172022
9,7482.8538699081,-15855642.095172022
10,7482.8786183320435,-15855839.209748236
11,7482.8786183320435,-15855839.209748236
12,7482.8786183320435,-15855839.209748236
13,7482.8786183320435,-15855839.209748236
14,7482.8786183320435,-15855839.209748236
15,7482.8786183320435,-15855839.209748236
16,7482.8786183320435,-15855839.209748236
17,7482.8786183320435,-15855839.209748236
18,7482.880036464233,-15855850.504828865
19,7482.880036464233,-15855850.504828865
20,7482.880036464233,-15855850.504828865
21,7482.880036464233,-15855850.504828865
22,7482.880036464233,-15855850.504828865
23,7482.880036464233,-15855850.504828865
24,7482.880036464233,-15855850.504828865
25,7482.880036464233,-15855850.504828865
26,7482.880036464233,-15855850.504828865
27,7482.880036464233,-15855850.504828865
28,7482.880036464233,-15855850.504828865
29,7482.880036464233,-15855850.504828865
30,7482.880036464233,-15855850.504828865
31,7482.880036464233,-15855850.504828865
32,7482.880036464233,-15855850.504828865
33,7482.880036464233,-15855850.504828865
34,7482.880036464233,-15855850.504828865
35,7482.880036464233,-15855850.504828865
36,7482.880036464233,-15855850.504828865
37,7482.880036464233,-15855850.504828865
38,7482.880036464233,-15855850.504828865
39,7482.880036464233,-15855850.504828865
40,7482.880036464233,-15855850.504828865
41,7482.880036823683,-15855850.507691802
42,7482.880036823683,-15855850.507691802
43,7482.880036823683,-15855850.507691802
44,7482.880036823683,-15855850.507691802
45,7482.880036823683,-15855850.507691802
46,7482.880036823683,-15855850.507691802
47,7482.880036823683,-15855850.507691802
48,7482.880036823683,-15855850.507691802
49,7482.880036823683,-15855850.507691802
50,7482.880036823683,-15855850.507691802
51,7482.880036823683,-15855850.507691802
52,7482.880036823683,-15855850.507691802
53,7482.880036823683,-15855850.507691802
54,7482.880036823683,-15855850.507691802
55,7482.880036823683,-15855850.507691802
56,7482.880036831023,-15855850.507750262
57,7482.880036831023,-15855850.507750262
58,7482.880036831023,-15855850.507750262
59,7482.880036831023,-15855850.507750262
