expression_id,complexity,loss
111.569540000000,1,11765.351
t*9.443697,3,576.34656
-c_eth + t*10.156036,5,479.7468
t*(-1*(-7.7413583) + t/c_eth),7,452.0698
-c_pg + t*(14.012966 - sqrt(c_eth)),8,431.16254
-c_pg + t*(8.092503 + 29.397648/c_eth),9,430.2894
-c_pg + 31.542995*t/log(c_eth + 7.6781607),10,429.66183
-c_eth + t*(10.483428 - 0.35234854/(c_eth - 14.736261)),11,366.18896
-c_eth + t*(c_pg*(-0.024481725)/(c_eth - 14.736261) + 10.491991),13,344.0619
(t - 1.3202623)*((11.411566 - c_pg)/((19.01006/(c_eth - 13.863576))) + 10.207312),15,330.40033
(t - 1.3172867)*((11.469513 - c_pg)/(c_pg/(c_eth - 13.591569) + 0.994731) + 10.142246),17,326.39496
t*((10.156036 - c_pg)/((26.857502/(c_eth - 15.071985 + 1/(c_eth - 14.820697)))) + 9.649984),18,317.75995
t*((11.151648 - (c_pg + c_pg/(c_eth - 15.296131)))/((19.925339/(c_eth - 15.779506))) + 10.273093),19,291.74292
(t - 1.32414)*((10.483428 - c_pg)/((23.345663/(c_eth - 15.209062 + 1/(c_eth - 14.813849)))) + 10.246358),20,242.93799
(t - 1.3291862)*((10.932744 - (c_pg + c_pg/(c_eth - 15.288524)))/((19.406082/(c_eth - 15.788489))) + 10.93274),21,216.50095
(10.064977 + (-c_pg + c_pg/(c_eth - 15.258837) + 9.39352)/(c_pol/(c_eth - 14.604293) - 2.112254))*(t - 1.3183082),23,195.5126
(10.604904 + (10.604904 - (c_pg + (c_pg - 7.391829)/(c_eth - 15.290134)))/(-2.455683 + 20.174345/(c_eth - 16.711681)))*(t - 1.3210942),25,194.86449
(10.321513 + (-c_pg + c_pg/(c_eth - 15.225302) + 9.266569)/(-2.276676 + 24.376303/(c_eth - 14.616643)))*(t - 1.7712499 + 1/t),26,187.39972
(11.339801 + ((c_eth + c_pg/(c_eth - 15.220599))*c_pol*(-0.040153116) - c_pg + 23.582836)/((c_pol/(c_eth - 15.892022))))*(t - 1.3246373),27,173.95897
-c_pg + t*(11.665971 + (20.234722 - (c_eth*0.60644144 + c_pg + (c_pol*(-0.18404673) + c_pg)/(c_eth - 15.171272)))/((c_pg/(c_eth - 15.681594)))),29,164.72421
-c_pg + t*(10.830311 + (19.271553 - ((c_eth + (c_pol*(-0.3272755) + c_pg)/(c_eth - 15.183248))*c_pol*0.023550149 + c_pg))/((c_pg/(c_eth - 16.631844)))),31,147.16884
(t - 1.3202816)*((20.483572 - (c_pol*0.025008759*(c_eth + (c_pol*(-0.33074608) + c_pg)/(c_eth - 15.173751)) + c_pg))/(c_pg/(c_eth - 16.842707) - 1.3315462) + 10.9589815),33,131.13074
(t - 1.3202811)*((20.483572 - (c_pol*0.025478756*(c_eth + (c_pol*(-0.33073434) + c_pg)/(c_eth - 15.173938)) + c_pg))/(c_pg*(-0.08229664) + c_pg/(c_eth - 16.76436)) + 10.9589815),35,126.02368
((20.446007 - (c_pol*(c_eth + (c_pol*(-0.33097667) + c_pg)/(c_eth - 15.172695))*0.025042731 + c_pg))/(c_pg/(c_eth - 16.764359) - 1.1817721) + 11.088979)*(t - 1*1.723062 + 1/t),36,123.83414
((20.446016 - (c_pol*(c_eth + (c_pol*(-0.33102357) + c_pg)/(c_eth - 15.172693))*0.025330327 + c_pg))/(c_pg*(-0.0822702) + c_pg/(c_eth - 16.764357)) + 11.088998)*(t - 1*1.7105602 + 1/t),38,118.79092
