Complexity,Loss,Equation
1,11697.47,"111.35604"
3,587.4777,"x3 * 9.418948"
5,489.75507,"(x3 * 10.122164) - x1"
7,452.51065,"x3 * ((x3 / x1) + 7.697305)"
8,434.74734,"((13.973444 - sqrt(x1)) * x3) - x2"
9,431.77924,"(((x1 / -6.1169405) + 12.579831) * x3) - x2"
10,430.10947,"(x3 - sqrt(x3)) * ((x1 * -0.20275038) + 14.959495)"
11,415.6861,"((x1 / (-105.35277 / x2)) + 12.16247) * (x3 - 1.2969835)"
12,409.00797,"(x3 - sqrt(x3)) * ((x1 / (-88.59129 / x2)) + 14.450818)"
13,387.95303,"(((x1 + -9.918673) / (-71.76666 / x2)) + 11.084921) * (x3 - 1.2999963)"
14,381.09146,"(x3 - sqrt(x3)) * (((x1 + -9.936959) / (-60.34215 / x2)) + 13.163402)"
15,343.87387,"(((x1 + -14.169029) / (-16.67787 / x2)) + (x1 * 0.71427536)) * (x3 - 1.29925)"
16,337.0165,"(((x1 + -14.171379) / (-14.038234 / x2)) + (x1 * 0.8482566)) * (x3 - sqrt(x3))"
18,333.5637,"(((sqrt(x3) - x3) * (((x1 + -14.024787) / (-11.631442 / x2)) + x1)) * -0.7704104) + x3"
20,332.23856,"(x3 - sqrt(x3 + -0.4965147)) * (((x1 + -13.967603) / ((-9.04603 / x2) - 0.20580676)) + (x1 - 1.9223834))"
22,325.2919,"log(square(log(15.000126 / x1))) + ((372.69162 / ((x2 + (103.85597 / (x1 + (x2 + -15.437035)))) + x1)) * x3)"
23,275.1758,"((x3 / ((111.3525 / ((x2 + x1) + -15.557739)) + (x2 + x1))) * (log(square(14.999999 - x1)) + 399.13974)) - x1"
24,247.64742,"((x3 * (log(square(square(14.999998 - x1))) + 400.10483)) / ((110.126686 / (x2 + (x1 + -15.436088))) + (x1 + x2))) - x1"
