hyperparam,pop_size,test_MSE_norm_median,test_MSE_norm_mean,test_MSE_norm_std,test_MSE_norm_count,sec_median,sec_mean,sec_std,sec_count,delta_median_test_MSE_norm,delta_median_sec,baseline_level,ngen,cxpb,tournsize,tree_len_max,init_depth_max,alpha_complexity
pop_size,3000.0,0.20674612,0.14521745833333335,0.11088892926404918,3,4859.19,4550.12,2334.053171566578,3,-0.003329049504150647,-0.31226279903332765,4000.0,,,,,,
pop_size,4000.0,0.207436687,0.26952678705,0.18224843567040958,60,7065.475,7061.244833333333,5151.4470572239525,60,0.0,0.0,4000.0,,,,,,
pop_size,5000.0,0.206809844,0.367193278,0.27779908068849185,3,15128.16,10480.823333333334,8855.891525139257,3,-0.003021852156749957,1.1411384231067265,4000.0,,,,,,
ngen,,0.240659118,0.414481959,0.3011616776929615,3,8214.57,5778.083333333333,4857.809519704672,3,0.1635430514718769,0.23178578551260112,250.0,200.0,,,,,
ngen,,0.2068330155,0.26144438281666665,0.18210718576500673,60,6668.83,7032.331833333333,5149.120229293245,60,0.0,0.0,250.0,250.0,,,,,
ngen,,0.240665242,0.259576862,0.0644175285679387,3,12344.7,9831.12,8601.110515532282,3,0.16357265989771352,0.8511043166492475,250.0,300.0,,,,,
cxpb,,0.342011113,0.5308365433333333,0.4492654233632899,3,11175.74,11348.65,2207.5297006155997,3,0.6535427806303794,0.707435906641906,0.6,,0.5,,,,
cxpb,,0.206835358,0.25673887296666664,0.16414072259907633,60,6545.335,6919.5445,5326.941493308037,60,0.0,0.0,0.6,,0.6,,,,
cxpb,,0.228795475,0.23733247466666665,0.03556800576289779,3,7089.13,6516.3,4809.5977399050735,3,0.10617196794756921,0.083081309054464,0.6,,0.7,,,,
tournsize,,0.342008851,0.3366720406666667,0.12723871747427637,3,1465.57,1636.1633333333332,1516.6527874346632,3,0.6536421909522817,-0.8042999869138961,5.0,,,3.0,,,
tournsize,,0.206821556,0.2539180689333333,0.17660572121500412,60,7488.860000000001,7505.465333333333,5292.628612486432,60,0.0,0.0,5.0,,,5.0,,,
tournsize,,0.341941537,0.487913058,0.2913600469238629,3,5073.2,4510.37,2290.7526522302664,3,0.6533167219765044,-0.3225671196951206,5.0,,,7.0,,,
tree_len_max,,0.206801964,0.21801040866666666,0.01960840567015445,3,7676.26,7331.709999999999,3530.517086787713,3,-0.014583149353672595,0.15106547925198277,25.0,,,,20.0,,
tree_len_max,,0.20986241900000002,0.27760172136666666,0.18981409182411765,60,6668.83,6887.169666666667,5296.418226644822,60,0.0,0.0,25.0,,,,25.0,,
tree_len_max,,0.170067927,0.13290164133333335,0.09795595379779089,3,11836.64,11180.736666666666,5220.440239580694,3,-0.18962181123052818,0.7749200384475237,25.0,,,,30.0,,
init_depth_max,,0.206618393,0.187141407,0.16547016019741062,3,15279.89,10498.81,8917.146316417602,3,-0.0010816438029927474,1.221550356715513,4.0,,,,,3.0,
init_depth_max,,0.2068421225,0.2722167051166667,0.18997649938582034,60,6878.03,7010.315833333333,5026.363933909152,60,0.0,0.0,4.0,,,,,4.0,
init_depth_max,,0.269567882,0.271470968,0.06567207705778001,3,3076.03,5550.713333333333,6905.649937249449,3,0.30325428274407684,-0.5527745589943631,4.0,,,,,5.0,
alpha_complexity,,0.206812439,0.20681059366666665,2.573666470879515e-05,3,14079.3,11974.050000000001,4286.6529049947585,3,-0.0030093423156146997,1.1112099123834316,0.0005,,,,,,0.0002
alpha_complexity,,0.207436687,0.26146688958333336,0.18298341294527787,60,6668.83,7079.225333333334,5181.736116398443,60,0.0,0.0,0.0005,,,,,,0.0005
alpha_complexity,,0.550836547,0.46679809200000005,0.2298136768444325,3,217.95,2697.2833333333333,4299.502510085712,3,1.6554441982579482,-0.9673181052748383,0.0005,,,,,,0.001
